160,,,,,,,,,,,
801,429,1230,0.651219512,,,,,117,1113,1230,0.095121951
798,432,1230,0.648780488,,,,,100,1130,1230,0.081300813
797,433,1230,0.64796748,,,,,107,1123,1230,0.08699187
799,431,1230,0.649593496,,,,,95,1135,1230,0.077235772
793,437,1230,0.644715447,,,,,99,1131,1230,0.080487805
798,432,1230,0.648780488,,,,,94,1136,1230,0.076422764
797,433,1230,0.64796748,,,,,111,1119,1230,0.090243902
798,432,1230,0.648780488,,,,,95,1135,1230,0.077235772
799,431,1230,0.649593496,,,,,114,1116,1230,0.092682927
795,435,1230,0.646341463,7975,12300,64.83739837,,105,1125,1230,0.085365854
