0,71,52,0.577235772,,Network,
1,83,40,0.674796748,,Dense,512
2,71,52,0.577235772,,Dropout,0.1
3,73,50,0.593495935,,Dense,2
4,74,49,0.601626016,,,
5,74,49,0.601626016,,,
6,73,50,0.593495935,,,
7,68,55,0.552845528,,,
8,69,54,0.56097561,,,
9,67,56,0.544715447,,,
,723,507,58.7804878,,,
-,,,,,,
0,78,45,0.634146341,,Network,
1,77,46,0.62601626,,Dense,768
2,71,52,0.577235772,,Dropout,0.1
3,66,57,0.536585366,,Dense,2
4,75,48,0.609756098,,,
5,71,52,0.577235772,,,
6,75,48,0.609756098,,,
7,65,58,0.528455285,,,
8,81,42,0.658536585,,,
9,69,54,0.56097561,,,
,728,502,59.18699187,,,
-,,,,,,
0,75,48,0.609756098,,Network,
1,64,59,0.520325203,,Dense,1024
2,75,48,0.609756098,,Dropout,0.1
3,70,53,0.569105691,,Dense,2
4,79,44,0.642276423,,,
5,82,41,0.666666667,,,
6,71,52,0.577235772,,,
7,73,50,0.593495935,,,
8,72,51,0.585365854,,,
9,71,52,0.577235772,,,
,732,498,59.51219512,,,
