,Wins,Losses,Accuracy,,Epochs,Loss
0,742,536,0.580594679,,50,|y_pred - y_true|
0,761,517,0.595461659,,50,
0,770,508,0.602503912,,100,
0,778,500,0.608763693,,100,
0,767,511,0.600156495,,150,
0,785,493,0.614241002,,150,
0,769,509,0.60172144,,200,
0,780,498,0.610328638,,200,
0,740,538,0.579029734,,250,
0,746,532,0.58372457,,250,
-,,,,,,
0,759,519,0.593896714,,50,mean squared error
0,736,542,0.575899844,,50,
0,751,527,0.587636933,,100,
0,769,509,0.60172144,,100,
0,773,505,0.60485133,,150,
0,776,502,0.607198748,,150,
0,777,501,0.607981221,,200,
0,796,482,0.6228482,,200,
0,767,511,0.600156495,,250,
0,767,511,0.600156495,,250,
0,724,554,0.566510172,,300,
0,764,514,0.597809077,,300,
